"freq,spdepm,spscheme,spdepb,sex,unit,geo\TIME_PERIOD",2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 ,2022 ,2023 
"A,TOTAL,TOTAL,DIS_TOT,T,PER,HU",13265 ,4153 ,0 ,: ,: ,: ,: ,: ,: ,: ,: ,: 
"A,TOTAL,TOTAL,DIS_TOT,T,PER,IE",153293 ,160860 ,167689 ,175498 ,183017 ,192679 ,199779 ,206059 ,212885 ,214080 ,215253 ,219944 
"A,TOTAL,TOTAL,DIS_TOT,T,PER,IS",18404 ,18954 ,19465 ,19992 ,20656 ,21228 ,21853 ,22554 ,23226 ,23371 ,23800 ,27780 
"A,TOTAL,TOTAL,DIS_TOT,T,PER,IT",1462145 ,1452296 ,1453654 ,1463129 ,1473498 ,1476430 ,1561904 ,1643558 ,1623022 ,1603997 ,1604934 ,1622972 
"A,TOTAL,TOTAL,DIS_TOT,T,PER,LT",170709 ,170190 ,170785 ,166849 ,166349 ,168082 ,166451 ,166275 ,160678 ,149096 ,148485 ,147559 
"A,TOTAL,TOTAL,DIS_TOT,T,PER,LU",21144 ,21620 ,22544 ,23389 ,23489 ,22769 ,22073 ,21700 ,21477 ,21641 ,21457 ,21457 
"A,TOTAL,TOTAL,DIS_TOT,T,PER,LV",90003 ,92040 ,94522 ,96318 ,98788 ,99478 ,101165 ,101657 ,102196 ,103792 ,104294 ,106496 
"A,TOTAL,TOTAL,DIS_TOT,T,PER,ME",: ,10762 ,10472 ,10433 ,9956 ,9912 ,9559 ,9186 ,8545 ,7886 ,7208 ,7291 p
"A,TOTAL,TOTAL,DIS_TOT,T,PER,MK",: ,: ,: ,13784 ,12360 ,11125 ,: ,: ,: ,: ,: ,: 
"A,TOTAL,TOTAL,DIS_TOT,T,PER,MT",7607 ,7554 ,7636 ,7672 ,7718 ,7701 ,7805 ,7913 ,7778 ,7990 ,8594 ,8556 
